##File Type: Far field
##File Format: 5
##Source: dipole
##Date: 2019-03-14 10:59:10
** File exported by POSTFEKO version 2018-319328 (x64)

#Configuration Name: StandardConfiguration1
#Request Name: FarField1
#Frequency: 8.66000000E+08
#Coordinate System: Spherical
#No. of Theta Samples: 73
#No. of Phi Samples: 37
#Result Type: Gain
#No. of Header Lines: 1
                 "Theta"           "Phi"             "Re(Etheta)"      "Im(Etheta)"      "Re(Ephi)"        "Im(Ephi)"        "Gain(Theta)"     "Gain(Phi)"       "Gain(Total)"     
                  -5.00000000E+01    5.00000000E+00   -2.39995565E-01   -4.09500916E-01   -1.73472348E-18    0.00000000E+00   -1.04418026E+00   -3.49786973E+02   -1.04418026E+00   
                  -4.50000000E+01    5.00000000E+00   -2.16250737E-01   -3.69860765E-01   -3.46944695E-18    3.46944695E-18   -1.93376483E+00   -3.40756073E+02   -1.93376483E+00   
                  -4.00000000E+01    5.00000000E+00   -1.91855957E-01   -3.28936680E-01    0.00000000E+00    3.46944695E-18   -2.95765659E+00   -3.43766373E+02   -2.95765659E+00   
                  -3.50000000E+01    5.00000000E+00   -1.67174094E-01   -2.87314367E-01    1.73472348E-18   -3.46944695E-18   -4.13808366E+00   -3.42797272E+02   -4.13808366E+00   
                  -3.00000000E+01    5.00000000E+00   -1.42487228E-01   -2.45457279E-01    0.00000000E+00    0.00000000E+00   -5.51082052E+00   -1.00000000E+03   -5.51082052E+00   
                  -2.50000000E+01    5.00000000E+00   -1.17992552E-01   -2.03699801E-01    1.73472348E-18   -3.46944695E-18   -7.13523757E+00   -3.42797272E+02   -7.13523757E+00   
                  -2.00000000E+01    5.00000000E+00   -9.38043578E-02   -1.62249787E-01    0.00000000E+00    0.00000000E+00   -9.11550695E+00   -1.00000000E+03   -9.11550695E+00   
                  -1.50000000E+01    5.00000000E+00   -6.99611048E-02   -1.21199011E-01    8.67361738E-19   -1.73472348E-18   -1.16526176E+01   -3.48817872E+02   -1.16526176E+01   
                  -1.00000000E+01    5.00000000E+00   -4.64364909E-02   -8.05398605E-02   -8.67361738E-19   -8.67361738E-19   -1.52049241E+01   -3.52797272E+02   -1.52049241E+01   
                  -5.00000000E+00    5.00000000E+00   -2.31534302E-02   -4.01866342E-02    4.33680869E-19    4.33680869E-19   -2.12450789E+01   -3.58817872E+02   -2.12450789E+01   
                   0.00000000E+00    5.00000000E+00    0.00000000E+00    0.00000000E+00    0.00000000E+00    0.00000000E+00   -1.00000000E+03   -1.00000000E+03   -1.00000000E+03   
                   5.00000000E+00    5.00000000E+00    2.31534224E-02    4.01866381E-02    0.00000000E+00    0.00000000E+00   -2.12450790E+01   -1.00000000E+03   -2.12450790E+01   
                   1.00000000E+01    5.00000000E+00    4.64364663E-02    8.05398724E-02   -8.67361738E-19   -8.67361738E-19   -1.52049243E+01   -3.52797272E+02   -1.52049243E+01   
                   1.50000000E+01    5.00000000E+00    6.99610697E-02    1.21199028E-01    0.00000000E+00    0.00000000E+00   -1.16526178E+01   -1.00000000E+03   -1.16526178E+01   
                   2.00000000E+01    5.00000000E+00    9.38043301E-02    1.62249800E-01   -8.67361738E-19   -1.73472348E-18   -9.11550708E+00   -3.48817872E+02   -9.11550708E+00   
                   2.50000000E+01    5.00000000E+00    1.17992549E-01    2.03699801E-01   -1.73472348E-18    3.46944695E-18   -7.13523761E+00   -3.42797272E+02   -7.13523761E+00   
                   3.00000000E+01    5.00000000E+00    1.42487251E-01    2.45457267E-01    0.00000000E+00    0.00000000E+00   -5.51082049E+00   -1.00000000E+03   -5.51082049E+00   
                   3.50000000E+01    5.00000000E+00    1.67174130E-01    2.87314350E-01   -1.73472348E-18    0.00000000E+00   -4.13808358E+00   -3.49786973E+02   -4.13808358E+00   
                   4.00000000E+01    5.00000000E+00    1.91855980E-01    3.28936670E-01    0.00000000E+00    0.00000000E+00   -2.95765652E+00   -1.00000000E+03   -2.95765652E+00   
                   4.50000000E+01    5.00000000E+00    2.16250728E-01    3.69860772E-01    1.73472348E-18    0.00000000E+00   -1.93376479E+00   -3.49786973E+02   -1.93376479E+00   
                   5.00000000E+01    5.00000000E+00    2.39995520E-01    4.09500942E-01    0.00000000E+00   -3.46944695E-18   -1.04418026E+00   -3.43766373E+02   -1.04418026E+00   
                   5.50000000E+01    5.00000000E+00    2.62657549E-01    4.47166357E-01    0.00000000E+00    0.00000000E+00   -2.74914826E-01   -1.00000000E+03   -2.74914826E-01   
                   6.00000000E+01    5.00000000E+00    2.83751758E-01    4.82088721E-01    0.00000000E+00    0.00000000E+00    3.82819332E-01   -1.00000000E+03    3.82819332E-01   
                   6.50000000E+01    5.00000000E+00    3.02764876E-01    5.13459514E-01   -1.73472348E-18    0.00000000E+00    9.34462950E-01   -3.49786973E+02    9.34462950E-01   
                   7.00000000E+01    5.00000000E+00    3.19184473E-01    5.40474789E-01    0.00000000E+00    3.46944695E-18    1.38329336E+00   -3.43766373E+02    1.38329336E+00   
                   7.50000000E+01    5.00000000E+00    3.32530928E-01    5.62384303E-01    8.67361738E-19    0.00000000E+00    1.73120494E+00   -3.55807572E+02    1.73120494E+00   
                   8.00000000E+01    5.00000000E+00    3.42389599E-01    5.78540868E-01    0.00000000E+00    1.73472348E-18    1.97923183E+00   -3.49786973E+02    1.97923183E+00   
                   8.50000000E+01    5.00000000E+00    3.48440187E-01    5.88445306E-01    0.00000000E+00    8.67361738E-19    2.12789587E+00   -3.55807572E+02    2.12789587E+00   
                   9.00000000E+01    5.00000000E+00    3.50480294E-01    5.91782499E-01   -3.85185989E-34    3.85185989E-34    2.17742821E+00   -6.59847868E+02    2.17742821E+00   
                   9.50000000E+01    5.00000000E+00    3.48440685E-01    5.88444725E-01    0.00000000E+00    0.00000000E+00    2.12789274E+00   -1.00000000E+03    2.12789274E+00   
                   1.00000000E+02    5.00000000E+00    3.42390571E-01    5.78539732E-01    0.00000000E+00    0.00000000E+00    1.97922560E+00   -1.00000000E+03    1.97922560E+00   
                   1.05000000E+02    5.00000000E+00    3.32532329E-01    5.62382662E-01   -8.67361738E-19    0.00000000E+00    1.73119564E+00   -3.55807572E+02    1.73119564E+00   
                   1.10000000E+02    5.00000000E+00    3.19186239E-01    5.40472713E-01    0.00000000E+00   -3.46944695E-18    1.38328105E+00   -3.43766373E+02    1.38328105E+00   
                   1.15000000E+02    5.00000000E+00    3.02766928E-01    5.13457090E-01    0.00000000E+00    0.00000000E+00    9.34447719E-01   -1.00000000E+03    9.34447719E-01   
                   1.20000000E+02    5.00000000E+00    2.83754012E-01    4.82086045E-01    1.73472348E-18    0.00000000E+00    3.82801282E-01   -3.49786973E+02    3.82801282E-01   
                   1.25000000E+02    5.00000000E+00    2.62659917E-01    4.47163529E-01    0.00000000E+00    0.00000000E+00   -2.74935570E-01   -1.00000000E+03   -2.74935570E-01   
                   1.30000000E+02    5.00000000E+00    2.39997915E-01    4.09498063E-01    0.00000000E+00    3.46944695E-18   -1.04420356E+00   -3.43766373E+02   -1.04420356E+00   
                   1.35000000E+02    5.00000000E+00    2.16253072E-01    3.69857934E-01   -1.73472348E-18    0.00000000E+00   -1.93379047E+00   -3.49786973E+02   -1.93379047E+00   
                   1.40000000E+02    5.00000000E+00    1.91858203E-01    3.28933959E-01    3.46944695E-18    6.93889390E-18   -2.95768440E+00   -3.36776673E+02   -2.95768440E+00   
                   1.45000000E+02    5.00000000E+00    1.67176173E-01    2.87311838E-01   -1.73472348E-18    0.00000000E+00   -4.13811346E+00   -3.49786973E+02   -4.13811346E+00   
                   1.50000000E+02    5.00000000E+00    1.42489068E-01    2.45455016E-01    1.73472348E-18   -3.46944695E-18   -5.51085214E+00   -3.42797272E+02   -5.51085214E+00   
                   1.55000000E+02    5.00000000E+00    1.17994104E-01    2.03697861E-01   -1.73472348E-18    0.00000000E+00   -7.13527079E+00   -3.49786973E+02   -7.13527079E+00   
                   1.60000000E+02    5.00000000E+00    9.38055980E-02    1.62248208E-01    8.67361738E-19    1.73472348E-18   -9.11554154E+00   -3.48817872E+02   -9.11554154E+00   
                   1.65000000E+02    5.00000000E+00    6.99620328E-02    1.21197812E-01    0.00000000E+00    0.00000000E+00   -1.16526533E+01   -1.00000000E+03   -1.16526533E+01   
                   1.70000000E+02    5.00000000E+00    4.64371136E-02    8.05390519E-02   -8.67361738E-19    0.00000000E+00   -1.52049605E+01   -3.55807572E+02   -1.52049605E+01   
                   1.75000000E+02    5.00000000E+00    2.31537474E-02    4.01862249E-02    4.33680869E-19    0.00000000E+00   -2.12451156E+01   -3.61828172E+02   -2.12451156E+01   
                   1.80000000E+02    5.00000000E+00    3.24614777E-17    5.63547588E-17    0.00000000E+00    0.00000000E+00   -3.18308578E+02   -1.00000000E+03   -3.18308578E+02   
