##File Type: Far field
##File Format: 5
##Source: dipole
##Date: 2019-03-18 11:10:03
** File exported by POSTFEKO version 2018-319328 (x64)

#Configuration Name: StandardConfiguration1
#Request Name: FarField1
#Frequency: 8.66000000E+08
#Coordinate System: Spherical
#No. of Theta Samples: 73
#No. of Phi Samples: 37
#Result Type: Gain
#No. of Header Lines: 1
                 "Theta"           "Phi"             "Re(Etheta)"      "Im(Etheta)"      "Re(Ephi)"        "Im(Ephi)"        "Gain(Theta)"     "Gain(Phi)"       "Gain(Total)"     
                   1.40000000E+02    0.00000000E+00    0.00000000E+00    0.00000000E+00    3.50480350E-01    5.91782257E-01   -1.00000000E+03    2.17742594E+00    2.17742594E+00   
                   1.45000000E+02    0.00000000E+00    0.00000000E+00    0.00000000E+00    3.50480443E-01    5.91782356E-01   -1.00000000E+03    2.17742762E+00    2.17742762E+00   
                   1.50000000E+02    0.00000000E+00    0.00000000E+00    0.00000000E+00    3.50480526E-01    5.91782419E-01   -1.00000000E+03    2.17742884E+00    2.17742884E+00   
                   1.55000000E+02    0.00000000E+00    0.00000000E+00    0.00000000E+00    3.50480545E-01    5.91782417E-01   -1.00000000E+03    2.17742893E+00    2.17742893E+00   
                   1.60000000E+02    0.00000000E+00    0.00000000E+00    0.00000000E+00    3.50480471E-01    5.91782354E-01   -1.00000000E+03    2.17742778E+00    2.17742778E+00   
                   1.65000000E+02    0.00000000E+00    0.00000000E+00    0.00000000E+00    3.50480321E-01    5.91782266E-01   -1.00000000E+03    2.17742585E+00    2.17742585E+00   
                   1.70000000E+02    0.00000000E+00    0.00000000E+00    0.00000000E+00    3.50480152E-01    5.91782194E-01   -1.00000000E+03    2.17742399E+00    2.17742399E+00   
                   1.75000000E+02    0.00000000E+00    0.00000000E+00    0.00000000E+00    3.50480039E-01    5.91782168E-01   -1.00000000E+03    2.17742298E+00    2.17742298E+00   
                   1.80000000E+02    0.00000000E+00    0.00000000E+00    0.00000000E+00    3.50480038E-01    5.91782190E-01   -1.00000000E+03    2.17742321E+00    2.17742321E+00   
                  -1.80000000E+02    5.00000000E+00   -3.05463480E-02   -5.15772163E-02    3.49146356E-01    5.89530280E-01   -1.90166566E+01    2.14430773E+00    2.17742321E+00   
                  -1.75000000E+02    5.00000000E+00   -3.04296506E-02   -5.13802368E-02    3.49141085E-01    5.89522103E-01   -1.90498953E+01    2.14418448E+00    2.17704936E+00   
                  -1.70000000E+02    5.00000000E+00   -3.00804676E-02   -5.07908333E-02    3.49125316E-01    5.89497675E-01   -1.91501190E+01    2.14381616E+00    2.17593677E+00   
                  -1.65000000E+02    5.00000000E+00   -2.95015433E-02   -4.98136336E-02    3.49099458E-01    5.89457722E-01   -1.93188755E+01    2.14321326E+00    2.17411830E+00   
                  -1.60000000E+02    5.00000000E+00   -2.86974258E-02   -4.84563031E-02    3.49064227E-01    5.89403457E-01   -1.95588544E+01    2.14239362E+00    2.17164834E+00   
                  -1.55000000E+02    5.00000000E+00   -2.76744261E-02   -4.67294707E-02    3.49020656E-01    5.89336539E-01   -1.98740682E+01    2.14138195E+00    2.16860129E+00   
                  -1.50000000E+02    5.00000000E+00   -2.64405577E-02   -4.46466267E-02    3.48970084E-01    5.89259017E-01   -2.02701425E+01    2.14020920E+00    2.16506945E+00   
                  -1.45000000E+02    5.00000000E+00   -2.50054587E-02   -4.22239956E-02    3.48914103E-01    5.89173257E-01   -2.07547626E+01    2.13891140E+00    2.16116007E+00   
                  -1.40000000E+02    5.00000000E+00   -2.33802989E-02   -3.94803873E-02    3.48854485E-01    5.89081869E-01   -2.13383565E+01    2.13752847E+00    2.15699203E+00   
                  -1.35000000E+02    5.00000000E+00   -2.15776760E-02   -3.64370290E-02    3.48793098E-01    5.88987629E-01   -2.20351616E+01    2.13610276E+00    2.15269206E+00   
                  -1.30000000E+02    5.00000000E+00   -1.96115021E-02   -3.31173797E-02    3.48731823E-01    5.88893402E-01   -2.28649368E+01    2.13467766E+00    2.14839080E+00   
                  -1.25000000E+02    5.00000000E+00   -1.74968863E-02   -2.95469322E-02    3.48672492E-01    5.88802049E-01   -2.38558420E+01    2.13329629E+00    2.14421885E+00   
                  -1.20000000E+02    5.00000000E+00   -1.52500111E-02   -2.57530031E-02    3.48616848E-01    5.88716345E-01   -2.50495640E+01    2.13200027E+00    2.14030284E+00   
                  -1.15000000E+02    5.00000000E+00   -1.28880056E-02   -2.17645149E-02    3.48566522E-01    5.88638889E-01   -2.65111706E+01    2.13082856E+00    2.13676174E+00   
                  -1.10000000E+02    5.00000000E+00   -1.04288140E-02   -1.76117732E-02    3.48523008E-01    5.88572027E-01   -2.83501141E+01    2.12981652E+00    2.13370336E+00   
                  -1.05000000E+02    5.00000000E+00   -7.89106073E-03   -1.33262391E-02    3.48487635E-01    5.88517782E-01   -3.07720448E+01    2.12899492E+00    2.13122115E+00   
                  -1.00000000E+02    5.00000000E+00   -5.29391347E-03   -8.94030011E-03    3.48461520E-01    5.88477802E-01   -3.42391707E+01    2.12838904E+00    2.12939130E+00   
                  -9.50000000E+01    5.00000000E+00   -2.65694560E-03   -4.48703855E-03    3.48445510E-01    5.88453310E-01   -4.02270264E+01    2.12801778E+00    2.12827029E+00   
                  -9.00000000E+01    5.00000000E+00    1.86664102E-18    3.15238000E-18    3.48440130E-01    5.88445066E-01   -3.43293454E+02    2.12789287E+00    2.12789287E+00   
                  -8.50000000E+01    5.00000000E+00    2.65694590E-03    4.48703871E-03    3.48445548E-01    5.88453331E-01   -4.02270259E+01    2.12801826E+00    2.12827076E+00   
                  -8.00000000E+01    5.00000000E+00    5.29391420E-03    8.94030086E-03    3.48461567E-01    5.88477851E-01   -3.42391699E+01    2.12838989E+00    2.12939215E+00   
                  -7.50000000E+01    5.00000000E+00    7.89106111E-03    1.33262410E-02    3.48487652E-01    5.88517863E-01   -3.07720438E+01    2.12899591E+00    2.13122214E+00   
                  -7.00000000E+01    5.00000000E+00    1.04288129E-02    1.76117760E-02    3.48522971E-01    5.88572120E-01   -2.83501134E+01    2.12981730E+00    2.13370415E+00   
                  -6.50000000E+01    5.00000000E+00    1.28880027E-02    2.17645174E-02    3.48566445E-01    5.88638955E-01   -2.65111704E+01    2.13082878E+00    2.13676196E+00   
                  -6.00000000E+01    5.00000000E+00    1.52500079E-02    2.57530030E-02    3.48616777E-01    5.88716341E-01   -2.50495645E+01    2.13199977E+00    2.14030234E+00   
                  -5.50000000E+01    5.00000000E+00    1.74968857E-02    2.95469278E-02    3.48672480E-01    5.88801961E-01   -2.38558431E+01    2.13329525E+00    2.14421781E+00   
                  -5.00000000E+01    5.00000000E+00    1.96115063E-02    3.31173717E-02    3.48731897E-01    5.88893260E-01   -2.28649378E+01    2.13467659E+00    2.14838973E+00   
                  -4.50000000E+01    5.00000000E+00    2.15776843E-02    3.64370212E-02    3.48793234E-01    5.88987504E-01   -2.20351621E+01    2.13610226E+00    2.15269156E+00   
                  -4.00000000E+01    5.00000000E+00    2.33803072E-02    3.94803849E-02    3.48854609E-01    5.89081832E-01   -2.13383561E+01    2.13752888E+00    2.15699244E+00   
                  -3.50000000E+01    5.00000000E+00    2.50054605E-02    4.22240018E-02    3.48914129E-01    5.89173344E-01   -2.07547614E+01    2.13891253E+00    2.16116119E+00   
                  -3.00000000E+01    5.00000000E+00    2.64405487E-02    4.46466402E-02    3.48969964E-01    5.89259195E-01   -2.02701414E+01    2.14021037E+00    2.16507062E+00   
                  -2.50000000E+01    5.00000000E+00    2.76744072E-02    4.67294849E-02    3.49020417E-01    5.89336718E-01   -1.98740678E+01    2.14138236E+00    2.16860170E+00   
                  -2.00000000E+01    5.00000000E+00    2.86974045E-02    4.84563095E-02    3.49063967E-01    5.89403534E-01   -1.95588552E+01    2.14239278E+00    2.17164750E+00   
